Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 6114,17031611400,93.4,
Census tract,Tract 6115,17031611500,97.2,
Census tract,Tract 6116,17031611600,93.6,
Census tract,Tract 6117,17031611700,97.5,
Census tract,Tract 6118,17031611800,85.3,
Census tract,Tract 6119,17031611900,97.4,
Census tract,Tract 6120,17031612000,95.7,
Census tract,Tract 6121,17031612100,95.8,
Census tract,Tract 6201,17031620100,82.9,
Census tract,Tract 6202,17031620200,70.1,
Census tract,Tract 6203,17031620300,91.8,
Census tract,Tract 6204,17031620400,65.8,
Census tract,Tract 6301,17031630100,89.0,
Census tract,Tract 6302,17031630200,89.3,
Census tract,Tract 6303,17031630300,85.1,
Census tract,Tract 6304,17031630400,96.8,
Census tract,Tract 6305,17031630500,83.5,
Census tract,Tract 6308,17031630800,93.0,
Census tract,Tract 6309,17031630900,89.8,
Census tract,Tract 6401,17031640100,62.5,
Census tract,Tract 6403,17031640300,54.4,
Census tract,Tract 6404,17031640400,59.8,
Census tract,Tract 6405,17031640500,17.5,
Census tract,Tract 6406,17031640600,80.6,
Census tract,Tract 6407,17031640700,80.4,
Census tract,Tract 6408,17031640800,59.2,
Census tract,Tract 6501,17031650100,90.6,
Census tract,Tract 6502,17031650200,88.7,
Census tract,Tract 6503.01,17031650301,69.9,
Census tract,Tract 6503.02,17031650302,85.0,
Census tract,Tract 6504,17031650400,87.6,
Census tract,Tract 6505,17031650500,73.9,
Census tract,Tract 6603.01,17031660301,97.1,
Census tract,Tract 6603.02,17031660302,93.8,
Census tract,Tract 6604,17031660400,88.0,
Census tract,Tract 6605,17031660500,91.1,
Census tract,Tract 6606,17031660600,96.2,
Census tract,Tract 6607,17031660700,97.6,
Census tract,Tract 6608,17031660800,88.9,
Census tract,Tract 6609,17031660900,94.7,
Census tract,Tract 6610,17031661000,94.0,
Census tract,Tract 6611,17031661100,80.0,
Census tract,Tract 6701,17031670100,95.9,
Census tract,Tract 6702,17031670200,97.0,
Census tract,Tract 6703,17031670300,84.5,
Census tract,Tract 6704,17031670400,95.3,
Census tract,Tract 6705,17031670500,96.1,
Census tract,Tract 6706,17031670600,94.6,
Census tract,Tract 6707,17031670700,96.5,
Census tract,Tract 6708,17031670800,93.8,
Census tract,Tract 6709,17031670900,93.6,
Census tract,Tract 6711,17031671100,96.5,
Census tract,Tract 6712,17031671200,99.2,
Census tract,Tract 6713,17031671300,98.3,
Census tract,Tract 6714,17031671400,92.6,
Census tract,Tract 6715,17031671500,97.1,
Census tract,Tract 6716,17031671600,97.8,
Census tract,Tract 6718,17031671800,96.6,
Census tract,Tract 6719,17031671900,87.2,
Census tract,Tract 6720,17031672000,94.9,
Census tract,Tract 6805,17031680500,97.3,
Census tract,Tract 6806,17031680600,98.9,
Census tract,Tract 6809,17031680900,96.5,
Census tract,Tract 6810,17031681000,96.0,
Census tract,Tract 6811,17031681100,97.4,
Census tract,Tract 6812,17031681200,98.4,
Census tract,Tract 6813,17031681300,98.6,
Census tract,Tract 6814,17031681400,92.4,
